iter	Passed	Remaining
0	169	169358
1	172	86235
2	175	58254
3	177	44202
4	180	35840
5	182	30299
6	186	26396
7	188	23368
8	190	20987
9	193	19123
10	195	17583
11	197	16268
12	200	15201
13	202	14283
14	204	13447
15	207	12760
16	209	12128
17	211	11558
18	213	11048
19	215	10579
20	218	10163
21	220	9803
22	222	9453
23	224	9122
24	226	8826
25	228	8547
26	230	8293
27	231	8028
28	233	7806
29	235	7604
30	236	7382
31	238	7210
32	240	7041
33	242	6886
34	244	6738
35	246	6604
36	249	6482
37	251	6355
38	253	6237
39	254	6117
40	256	6011
41	259	5908
42	260	5803
43	262	5712
44	264	5607
45	266	5524
46	268	5442
47	270	5357
48	272	5282
49	273	5204
50	274	5112
51	276	5042
52	278	4973
53	280	4912
54	282	4852
55	284	4794
56	286	4734
57	288	4678
58	289	4622
59	291	4569
60	294	4529
61	295	4476
62	297	4426
63	299	4380
64	301	4332
65	302	4284
66	304	4241
67	306	4203
68	308	4163
69	310	4125
70	312	4089
71	314	4054
72	316	4020
73	318	3990
74	320	3955
75	322	3924
76	324	3890
77	326	3856
78	328	3826
79	330	3798
80	332	3768
81	334	3742
82	336	3717
83	338	3695
84	341	3673
85	344	3656
86	346	3634
87	348	3611
88	351	3600
89	355	3592
90	357	3568
91	359	3547
92	361	3522
93	363	3499
94	364	3474
95	366	3455
96	368	3433
97	370	3412
98	372	3390
99	374	3370
100	376	3347
101	378	3328
102	379	3308
103	382	3295
104	384	3276
105	386	3258
106	388	3241
107	390	3223
108	392	3207
109	394	3188
110	394	3161
111	396	3145
112	398	3127
113	400	3116
114	402	3098
115	404	3080
116	406	3064
117	408	3050
118	409	3034
119	411	3019
120	413	3007
121	415	2991
122	417	2975
123	419	2960
124	421	2948
125	423	2934
126	425	2922
127	427	2911
128	429	2900
129	431	2887
130	433	2874
131	435	2861
132	437	2849
133	438	2837
134	440	2825
135	442	2812
136	444	2801
137	447	2793
138	449	2782
139	451	2772
140	453	2762
141	455	2750
142	457	2739
143	459	2729
144	460	2717
145	462	2706
146	464	2697
147	466	2687
148	468	2677
149	470	2667
150	472	2657
151	474	2648
152	476	2639
153	478	2629
154	480	2619
155	482	2610
156	484	2601
157	486	2591
158	488	2582
159	490	2573
160	491	2563
161	493	2554
162	495	2543
163	497	2534
164	499	2526
165	501	2518
166	503	2510
167	505	2501
168	507	2494
169	509	2485
170	521	2526
171	523	2520
172	526	2514
173	528	2509
174	531	2507
175	533	2498
176	536	2493
177	538	2487
178	542	2488
179	545	2485
180	548	2480
181	550	2475
182	553	2469
183	556	2467
184	559	2464
185	561	2458
186	563	2451
187	565	2443
188	567	2435
189	569	2427
190	571	2419
191	573	2411
192	575	2405
193	577	2399
194	579	2391
195	581	2383
196	582	2376
197	584	2368
198	586	2362
199	588	2354
200	590	2347
201	592	2340
202	594	2332
203	596	2326
204	597	2318
205	599	2311
206	601	2305
207	604	2300
208	605	2293
209	607	2285
210	609	2279
211	611	2273
212	613	2266
213	615	2259
